timestamp,time_utc,up_price,down_price,combined,up_volume,down_volume,trades
1767953788,10:16:28,0.5904835808229811,0.409516419177019,1.0,47.909344,47.909344,14
1767953790,10:16:30,0.5900000969892765,0.4074669000022889,0.9974669969915654,4.536584,32.897963,7
1767953792,10:16:32,0.5986655660017992,0.40228367916636815,1.0009492451681674,136.167394,79.567394,19
1767953794,10:16:34,0.6223700410890086,0.37969219003389465,1.0020622311229033,533.3392259999999,594.639226,78
1767953796,10:16:36,0.6270603897997438,0.3729255343150713,0.999985924114815,346.3416849999999,358.26249399999995,63
1767953798,10:16:38,0.6435838975898046,0.3566363497469313,1.0002202473367359,414.15564,436.69563999999997,76
1767953800,10:16:40,0.6488015917701113,0.3506975074718995,0.9994990992420107,326.20941700000003,348.859417,73
1767953802,10:16:42,0.6633334280218895,0.3352952265968237,0.9986286546187133,248.18205,175.84204999999997,50
1767953804,10:16:44,0.6738353865470812,0.32524169481713,0.9990770813642111,219.117875,176.617875,46
1767953806,10:16:46,0.6860413089034185,0.31407605949684997,1.0001173684002684,273.575357,308.165357,51
1767953808,10:16:48,0.6931902446693327,0.3056672935296693,0.9988575381990019,162.27644700000002,159.046447,41
1767953810,10:16:50,0.7016724471468695,0.2981199838504142,0.9997924309972837,367.72665800000004,327.126658,55
1767953812,10:16:52,0.7099167323128508,0.29008583982043273,1.0000025721332835,1585.2178020000001,1537.7178020000001,57
1767953814,10:16:54,0.7141352408583096,0.2862341155228746,1.0003693563811842,229.95801999999998,225.95801999999998,51
1767953816,10:16:56,0.7245229991423388,0.27520642688106484,0.9997294260234035,464.33129299999996,502.29129299999994,73
1767953818,10:16:58,0.7303144726447032,0.26969807002679047,1.0000125426714936,876.204416,912.605155,48
1767953820,10:17:00,0.7323546732221502,0.26799215812737226,1.0003468313495225,147.03456799999998,157.491974,47
1767953822,10:17:02,0.7322348457937016,0.2677770286107243,1.000011874404426,273.83560500000004,199.50749799999997,45
1767953824,10:17:04,0.7395584519475988,0.2597737841329535,0.9993322360805523,180.725381,148.535381,37
1767953826,10:17:06,0.7550973647480723,0.24505507524726314,1.0001524399953354,906.8887020000001,898.7887020000001,89
1767953828,10:17:08,0.7733346783817868,0.226926638258006,1.000261316639793,341.95546299999995,357.8854630000001,55
1767953830,10:17:10,0.7828504289418908,0.2153932930036774,0.9982437219455682,118.106091,123.006091,37
1767953832,10:17:12,0.7811001072128974,0.218927829096792,1.0000279363096893,422.1702890000001,433.1702890000001,49
1767953834,10:17:14,0.7852925116135756,0.21501605886907882,1.0003085704826544,97.534777,91.53477700000002,38
1767953836,10:17:16,0.7892237374872028,0.21078832368588846,1.0000120611730912,924.6981119999998,886.0681119999999,49
1767953838,10:17:18,0.785399094332784,0.21088598667169947,0.9962850810044834,282.05879100000004,336.03879099999995,45
1767953840,10:17:20,0.7857941419276383,0.21443104733916016,1.0002251892667984,28.531638,27.081638,14
1767953842,10:17:22,0.7812564388021543,0.2188844064146581,1.0001408452168123,1904.672982,1889.222982,101
1767953844,10:17:24,0.7657209199457133,0.23464649190591416,1.0003674118516275,1188.5308279999997,1206.7208279999998,95
1767953846,10:17:26,0.79690849770132,0.20257379936125125,0.9994822970625712,337.15,335.03,26
1767953848,10:17:28,0.7919734984526084,0.20811653192991006,1.0000900303825184,1275.84701,1336.833674,66
1767953850,10:17:30,0.7886449764506023,0.21132932551983794,0.9999743019704402,646.6086809999999,659.1086809999999,52
1767953852,10:17:32,0.7905742071197754,0.2092077871263526,0.999781994246128,716.6490380000001,746.649038,52
1767953854,10:17:34,0.7928610640920966,0.2073699831606755,1.000231047252772,216.405949,216.40594900000002,53
1767953856,10:17:36,0.8026526754469118,0.1998197682734945,1.0024724437204062,196.915307,69.91,25
1767953858,10:17:38,0.8077087304859488,0.19314372620217848,1.0008524566881274,376.5287429999999,274.428743,41
1767953860,10:17:40,0.8132629870318905,0.1865357666425423,0.9997987536744328,153.720093,144.79009299999998,40
1767953862,10:17:42,0.8113058083626452,0.18865594223941692,0.9999617506020622,223.486063,217.126063,49
1767953864,10:17:44,0.815304180172941,0.18280789284097257,0.9981120730139136,162.32270999999997,271.46271,65
1767953866,10:17:46,0.8159015426501715,0.18267841551032876,0.9985799581605002,218.919238,176.459238,37
1767953868,10:17:48,0.8126045956362875,0.18741830834806605,1.0000229039843536,563.5900750000001,568.590075,36
1767953870,10:17:50,0.81539227219744,0.18863442704191058,1.0040266992393505,92.74797,395.52797,20
1767953872,10:17:52,0.81037327255332,0.1891333890774189,0.9995066616307389,388.78218799999996,409.78218799999996,27
1767953874,10:17:54,0.8156187991186082,0.18438120088139176,1.0,81.086759,81.086759,22
1767953876,10:17:56,0.8143185653943802,0.18432522959894534,0.9986437949933256,82.90044199999998,98.120442,29
1767953878,10:17:58,0.8104607177559967,0.18973010100280763,1.0001908187588042,254.95661600000003,249.956616,22
1767953880,10:18:00,0.8186733040755229,0.1812567972043827,0.9999301012799056,1250.2352720000001,1259.7752719999996,55
1767953882,10:18:02,0.8137064581939605,0.18559284435955664,0.9992993025535171,115.81627999999999,130.32628000000003,36
1767953884,10:18:04,0.8185271751009036,0.18222361970276446,1.000750794803668,392.37536,282.37483199999997,37
1767953886,10:18:06,0.7803338690987901,0.21977378848001816,1.0001076575788082,1194.481015,1172.830367,114
1767953888,10:18:08,0.7605148485228789,0.24057131751601318,1.0010861660388921,242.78947,201.28947000000002,24
1767953890,10:18:10,0.7530910722107873,0.24690892778921275,1.0,74.96104399999999,74.96104399999999,26
1767953892,10:18:12,0.7530801328405592,0.24786489051428476,1.000945023354844,128.668233,185.618233,39
1767953894,10:18:14,0.7392198946326799,0.26107877114953115,1.000298665782211,340.80870500000003,309.05537300000003,66
1767953896,10:18:16,0.7288089352241492,0.27204542121710307,1.0008543564412524,725.6972059999999,660.521446,72
1767953898,10:18:18,0.677327103758643,0.3200560614849931,0.9973831652436361,642.5654289999999,524.615429,94
1767953900,10:18:20,0.664716805982557,0.33671145218485743,1.0014282581674143,90.24849900000001,164.718499,31
1767953902,10:18:22,0.6697064771129585,0.3304439881283913,1.0001504652413498,674.9707050000001,627.9984579999999,44
1767953904,10:18:24,0.6676972092799637,0.33058381287817595,0.9982810221581396,99.87909800000001,308.319098,32
1767953906,10:18:26,0.6698758645988844,0.33162032316932905,1.0014961877682134,41.893126,49.373126,22
1767953908,10:18:28,0.6674538728497587,0.33249935382814544,0.9999532266779041,160.36163,159.36163,41
1767953910,10:18:30,0.6668906297341585,0.3321361292484375,0.999026758982596,171.776834,273.44683399999997,23
1767953912,10:18:32,0.6588279302803932,0.3412076162585036,1.0000355465388968,244.35817699999998,237.164114,29
1767953914,10:18:34,0.6575544968361525,0.34399488128411904,1.0015493781202716,42.11817899999999,25.783029000000003,9
1767953916,10:18:36,0.6526395779286025,0.3477539267820977,1.0003935047107002,24.453114,28.737398,12
1767953918,10:18:38,0.6599999944421048,0.3400000055578952,1.0,14.393938,14.393938000000002,9
1767953920,10:18:40,0.6562094882940183,0.34481150856031156,1.0010209968543298,31.507097,37.707097000000005,15
1767953922,10:18:42,0.6561755646632065,0.3443681660899276,1.000543730753134,66.807567,73.257567,21
1767953924,10:18:44,0.6513491520283411,0.349168106823052,1.000517258851393,100.21142699999999,116.241427,22
1767953926,10:18:46,0.6546845724297742,0.3494470718712018,1.004131644300976,99.876447,90.42857,16
1767953928,10:18:48,0.6534630428327252,0.34936930557708595,1.0028323484098112,49.352335,91.34376,19
1767953930,10:18:50,0.6561242838748952,0.3443332696394173,1.0004575535143125,61.924236,66.92423600000001,18
1767953932,10:18:52,0.6333856734018973,0.3658010245069532,0.9991866979088505,340.349828,298.59982799999995,57
1767953934,10:18:54,0.6351207073366779,0.36716881846474464,1.0022895258014226,90.19749999999999,133.001482,25
1767953936,10:18:56,0.6331428011960573,0.36510484109680946,0.9982476422928668,44.695522,28.695522,18
1767953938,10:18:58,0.6305465670118197,0.36893078674667146,0.9994773537584911,73.185134,65.095134,21
1767953940,10:19:00,0.6322011887014524,0.36838749705832924,1.0005886857597817,43.443036000000006,59.303036000000006,16
1767953942,10:19:02,0.6369086759877342,0.36669640652008767,1.0036050825078218,28.949188,60.540536,9
1767953944,10:19:04,0.6360379656654332,0.3628462255491437,0.9988841912145769,54.39125,175.67125,16
1767953946,10:19:06,0.6754602609385137,0.32500463434400517,1.0004648952825188,1723.540515,1817.220515,89
1767953948,10:19:08,0.6791949364447456,0.32040416476257483,0.9995991012073204,1161.289036,1168.540466,90
1767953950,10:19:10,0.7100389578658881,0.2897494490476025,0.9997884069134906,107.818791,110.15879100000001,27
1767953952,10:19:12,0.7320209309560551,0.2678197487934702,0.9998406797495254,431.242031,422.66258,59
1767953954,10:19:14,0.7563475406707404,0.24372518378929062,1.000072724460031,177.96313699999996,162.64998300000002,52
1767953956,10:19:16,0.7456265186488747,0.25506904424370674,1.0006955628925815,218.10999600000002,149.17999600000002,22
1767953958,10:19:18,0.7520199208300384,0.24945983960082355,1.001479760430862,358.221218,285.801218,43
1767953960,10:19:20,0.7239874542572632,0.2748453563068632,0.9988328105641264,557.4059779999999,462.035978,62
1767953962,10:19:22,0.7254681427448997,0.2776025080138691,1.0030706507587688,309.948251,282.885517,23
1767953964,10:19:24,0.6981822310224062,0.3040189101521363,1.0022011411745424,1156.730875,1713.922541,89
1767953966,10:19:26,0.6862834103672971,0.31575985113757316,1.0020432615048702,773.868176,422.960188,67
1767953968,10:19:28,0.6915411757464824,0.3089307220090911,1.0004718977555735,334.04276,320.01990399999994,54
1767953970,10:19:30,0.6992740033685356,0.29627958665112625,0.9955535900196619,150.489128,318.77353100000005,48
1767953972,10:19:32,0.710288194236007,0.28975705888657394,1.000045253122581,486.6062969999999,556.6662969999999,81
1767953974,10:19:34,0.716672314982967,0.28299832579001893,0.999670640772986,114.01332699999999,146.48401499999997,26
1767953976,10:19:36,0.7199628177508278,0.2807568423734649,1.0007196601242927,156.007776,138.870343,37
1767953978,10:19:38,0.7278065441275718,0.2720803609418124,0.9998869050693843,199.81486999999998,203.27487000000002,30
1767953980,10:19:40,0.7045072798034518,0.29641492415618886,1.0009222039596408,533.9900349999999,503.99003500000003,48
1767953982,10:19:42,0.6848061885521618,0.3140929577943257,0.9988991463464876,1746.8931209999998,1510.6279470000002,133
1767953984,10:19:44,0.6532471166214735,0.34727082225723005,1.0005179388787035,1242.6226620000002,1035.993481,115
1767953986,10:19:46,0.638337249958934,0.3610343768687473,0.9993716268276813,186.438125,154.6825,59
