wallet,market_slug,market_question,winning_outcome,id,timestamp,datetime,side,outcome,shares,usdc,price,role,tx_hash,fee
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x0989529180dd409682578f937c433ecb818550ba8c407aa44f70717ef82cac6c_0x3decff7c137c2fce32f5ef29175ab22dc43140b081c02b855aeb10382a1b30e2,1768030178,2026-01-10T08:29:38,SELL,Down,10.96,5.3704,0.49,taker,0x0989529180dd409682578f937c433ecb818550ba8c407aa44f70717ef82cac6c,0
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x0989529180dd409682578f937c433ecb818550ba8c407aa44f70717ef82cac6c_0x6a87a37eabae66336d350270f9f187d9f8901c3d05ac67a2de2a0913f442832c,1768030178,2026-01-10T08:29:38,SELL,Down,3.04,1.4896,0.49,taker,0x0989529180dd409682578f937c433ecb818550ba8c407aa44f70717ef82cac6c,0
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x8f33b2200a62e968e4df462697d3a9e32374995c3ca8196fb531bac655d8e85f_0x19a4999adb8f66a2742bc6dedefdbd4c741308da30f5a5e77304e4e23cd3461c,1768030178,2026-01-10T08:29:38,BUY,Down,14.0,4.2,0.3,maker,0x8f33b2200a62e968e4df462697d3a9e32374995c3ca8196fb531bac655d8e85f,1.4
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0xd685ba2b4bf688f31a8ec6207ee6d7941d6c64a6ae27f63bc523c494dfebeb1e_0x111677d636437c4379f420269a7c444ccf46343db2eb4bfe3fa3936be0b7870c,1768030178,2026-01-10T08:29:38,BUY,Down,14.0,4.9,0.35000000000000003,maker,0xd685ba2b4bf688f31a8ec6207ee6d7941d6c64a6ae27f63bc523c494dfebeb1e,1.4
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0xd685ba2b4bf688f31a8ec6207ee6d7941d6c64a6ae27f63bc523c494dfebeb1e_0x40e6d9cc9c18e76861ebbcd6e75e19e4c0f30c45dc768c7647a8534cfe4ff14b,1768030178,2026-01-10T08:29:38,BUY,Down,14.0,4.9,0.35000000000000003,maker,0xd685ba2b4bf688f31a8ec6207ee6d7941d6c64a6ae27f63bc523c494dfebeb1e,1.4
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0xd685ba2b4bf688f31a8ec6207ee6d7941d6c64a6ae27f63bc523c494dfebeb1e_0x51402d60e49ab5d26b61e54ae40d226c39a2471a39b8cde05a38e34b24a66be3,1768030178,2026-01-10T08:29:38,BUY,Down,14.0,5.18,0.37,maker,0xd685ba2b4bf688f31a8ec6207ee6d7941d6c64a6ae27f63bc523c494dfebeb1e,1.4
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0xd685ba2b4bf688f31a8ec6207ee6d7941d6c64a6ae27f63bc523c494dfebeb1e_0x9df9e9c287a81f781264855125ec4d1c0ab8c783eaaf830a2868069f08240515,1768030178,2026-01-10T08:29:38,BUY,Down,14.0,5.32,0.38,maker,0xd685ba2b4bf688f31a8ec6207ee6d7941d6c64a6ae27f63bc523c494dfebeb1e,1.4
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0xd685ba2b4bf688f31a8ec6207ee6d7941d6c64a6ae27f63bc523c494dfebeb1e_0xa69ccf06c564e43617ae952df7470d8bf29b128839367d0f196fc90e21f566a0,1768030178,2026-01-10T08:29:38,BUY,Down,14.0,5.46,0.39,maker,0xd685ba2b4bf688f31a8ec6207ee6d7941d6c64a6ae27f63bc523c494dfebeb1e,1.4
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0xd685ba2b4bf688f31a8ec6207ee6d7941d6c64a6ae27f63bc523c494dfebeb1e_0xc19c63b8b6f1d1f0532bd6a848f21b7d92d1ef4d92da79cf41a4b9fa46e35e81,1768030178,2026-01-10T08:29:38,BUY,Down,14.0,5.18,0.37,maker,0xd685ba2b4bf688f31a8ec6207ee6d7941d6c64a6ae27f63bc523c494dfebeb1e,1.4
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0xd685ba2b4bf688f31a8ec6207ee6d7941d6c64a6ae27f63bc523c494dfebeb1e_0xd4cee7aa0bb0aa67bbe41cd51f1c46e6abfed9df79e18818619058fd401d19a2,1768030178,2026-01-10T08:29:38,BUY,Down,14.0,5.46,0.39,maker,0xd685ba2b4bf688f31a8ec6207ee6d7941d6c64a6ae27f63bc523c494dfebeb1e,1.4
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0xd685ba2b4bf688f31a8ec6207ee6d7941d6c64a6ae27f63bc523c494dfebeb1e_0xd5677c0be492e607c6ae3ddf0bf84ce14b43284aa64a4fb0160140330d2ead5d,1768030178,2026-01-10T08:29:38,BUY,Down,14.0,5.46,0.39,maker,0xd685ba2b4bf688f31a8ec6207ee6d7941d6c64a6ae27f63bc523c494dfebeb1e,1.4
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x2e59d3b2b4eca26458255d84514cb8a0a3c503d7f63e63d595f94839825606f9_0x2a3fca2e162dcd80acda7a59c91ebfba398b5f54bd4ad853980562cd68b609b4,1768030180,2026-01-10T08:29:40,BUY,Up,14.0,7.42,0.53,maker,0x2e59d3b2b4eca26458255d84514cb8a0a3c503d7f63e63d595f94839825606f9,1.241509
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x2e59d3b2b4eca26458255d84514cb8a0a3c503d7f63e63d595f94839825606f9_0x3bd160d903c55248c85cdec57b7ad059a75d396c1becdbb6fba80d0d3313cab2,1768030180,2026-01-10T08:29:40,BUY,Up,14.0,7.7,0.55,maker,0x2e59d3b2b4eca26458255d84514cb8a0a3c503d7f63e63d595f94839825606f9,1.145454
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x2e59d3b2b4eca26458255d84514cb8a0a3c503d7f63e63d595f94839825606f9_0x53338bca665b40893ae0b5345cd8069615440a39d76c9584e6091cf35f9636fc,1768030180,2026-01-10T08:29:40,BUY,Up,14.0,7.56,0.5399999999999999,maker,0x2e59d3b2b4eca26458255d84514cb8a0a3c503d7f63e63d595f94839825606f9,1.192592
